Stock,Date,EPS Reported,EPS Surprise,Beat Estimate,EPS Estimate,Net Profit Margin,Return On Assets,Current EPS Growth,Fiscal Year EPS Growth,Cash Flow Accruals,Balance Sheet Accruals,Quick Ratio,Price Earnings Ratio,Debt Equity Ratio,Return On Equity,Current Ratio,Price To Sales Ratio,Price To Book Ratio,Dividend Yield,Dividend Payout Ratio,Asset Turnover,Inventory Turnover,Cash Ratio,Gross Profit Growth,EPS Growth,Free Cash Flow Growth,Receivables Growth,Asset Growth,Debt Growth,R&D Growth
CASY,2019-09-09,2.31,+14.36,1,2.02,0.0327,0.022366609621799306,0.2158,-0.3393,-0.024224173296851028,0.036305790771475666,0.17117367142074,23.8468,0.9764,0.1447,0.695,0.5183,1.3564,0.0085456708437605,0.20320178923516,2.5065579025003,36.3426,0.10711215503645,0.0842,0.2135,0.4517,-0.1491,0.0886,0.0284,0.0
LAKE,2019-09-09,0.17,+466.67,1,0.03,0.0508,0.013759431868619618,0.4167,2.0,0.06644967204221532,0.0010145096008538788,2.8360750919296,61.7778,0.0158,0.0175,7.303,0.9119,0.959,-0.0,-0.0,1.0452688365022,2.3219,1.2416295722857,0.1386,0.3077,-3.9948,0.3202,0.0303,1.8618,0.0
CULP,2019-09-06,0.11,-26.67,-1,0.15,0.0179,0.005961318262217807,0.375,-0.7273,-0.0030519454481458875,0.00397980397980398,1.9538531484428,45.7174,0.0042,0.0355,3.502,0.8768,1.4288,0.018192462345764,0.83368569415081,1.3501770386754,5.688,1.1368492839282,0.2657,0.375,1.4816,0.0372,-0.0085,0.834,0.0
LULU,2019-09-05,0.96,+7.87,1,0.89,0.1415,0.04638288460796276,0.3521,0.9,0.004506921622239441,0.021117781814922337,1.8324638295067,40.3967,0.0,0.3346,2.856,5.4685,9.3772,-0.0,-0.0,1.577350049959,8.9551,1.7609600441179,0.2262,0.3521,-0.6344,0.1752,0.4325,5.9849,0.0
SAIC,2019-09-05,1.35,+4.65,1,1.29,0.0358,0.012318997190404149,-0.1504,-0.2264,-0.008212664793602767,0.3752260397830018,1.4347826086957,21.3956,1.4067,0.0923,1.598,0.6174,1.7539,0.018517059669518,0.38686131386861,1.0210387902696,43.5421,0.26421404682274,0.6518,-0.1565,4.75,0.4488,1.2461,1.0218,0.0
GIII,2019-09-05,0.23,+4.55,1,0.22,0.0173,0.004099267226950239,0.15,1.2,0.04376029517378475,0.071031847566292,0.98533544081489,12.4093,0.3251,0.1161,2.159,0.5595,1.1672,-0.0,-0.0,1.3931735488832,5.446,0.12076351439768,0.001,0.15,-0.6906,0.0382,0.2127,0.8226,0.0
ABM,2019-09-05,0.6,+5.26,1,0.57,0.0223,0.009829059829059829,0.0784,20.0,-0.005582264957264957,-0.024878697866964155,1.3289589905363,20.777,0.6455,0.0672,1.478,0.3143,1.4208,0.022869080915104,0.47034764826176,1.7759338387319,0.0,0.049337539432177,0.0912,0.0784,-0.3073,0.08,0.001,-0.0985,0.0
NX,2019-09-05,0.41,+13.89,1,0.36,0.0497,0.017411596555618296,0.1613,0.3889,-0.026544560511951816,-0.020212999466743306,1.1041021482791,19.5,0.5328,0.0666,1.866,0.5857,1.2731,0.013802725449006,0.26663628076572,1.1972123775925,11.2447,0.28334033469779,0.0573,0.1613,0.2337,0.0257,-0.0951,-0.0848,0.0
FIZZ,2019-09-05,0.74,-2.63,-1,0.76,0.1311,0.06277943774399686,-0.2885,-0.0596,-0.029205106395353064,-0.007287396064871985,2.4840112534394,18.6589,0.0,0.4248,3.313,2.5918,6.0094,0.051468364111305,0.96019964076023,2.2426375463574,15.4094,1.6096952708761,-0.1653,-0.2952,-0.1243,-0.1042,0.0517,0.0,0.0
CVGW,2019-09-05,0.91,+1.11,1,0.9,0.0295,0.02567020218038141,-0.1429,-0.1362,-0.05635194057819086,0.00494498212072643,0.74000181922925,52.4324,0.0582,0.1218,1.299,1.5651,4.8527,0.009927091489409,0.5160001239119,2.960705506124,33.0417,0.01536238036041,0.0818,-0.1408,0.8451,0.1827,0.1076,-0.2508,0.0
